timestamp,aggregated_power
1581077841,210.96864
1581077842,90.40128
1581077844,29.52744
1581077845,28.64352
1581077846,28.4244
1581077847,27.66576
1581077848,27.2652
1581077849,29.39592
1581077851,28.18488
1581077854,29.32104
1581077872,26.18016
1581077874,26.9712
1581077874,26.36112
1581077874,30.42432
1581077874,26.39856
1581077874,26.80944
1581077874,29.22264
1581077874,26.9088
1581077874,30.92928
1581077874,28.82688
1581077874,27.95688
1581077874,27.82944
1581077874,29.98968
1581077874,27.91152
1581077874,29.47752
1581077874,27.58224
1581077874,29.10888
1581077874,30.02928
1581077875,33.68616
1581077876,31.45656
1581077878,31.3332
1581077879,32.90712
1581077880,29.96472
1581077881,29.58024
1581077882,30.1164
1581077883,30.94344
1581077885,29.86488
1581077885,27.84456
1581077887,32.1996
1581077888,32.41176
1581077889,29.61192
1581077890,29.52408
1581077891,30.78552
1581077893,30.80544
1581077894,31.8192
1581077895,30.85296
1581077897,30.14904
1581077897,32.10624
1581077899,29.45352
1581077900,29.52216
1581077901,29.49384
1581077902,29.81376
1581077904,29.12424
1581077905,32.5308
1581077906,31.13904
1581077907,32.22072
1581077908,30.72528
1581077910,29.52912
1581077911,28.66968
1581077912,34.28904
1581077913,31.46208
1581077914,32.74848
1581077916,30.62736
1581077917,29.86416
1581077918,31.05936
1581077919,30.1944
1581077920,29.49912
1581077922,30.73728
1581077923,33.70248
1581077924,29.60568
1581077925,30.96936
1581077926,31.60416
1581077928,29.124
1581077929,30.37464
1581077930,30.36
1581077932,31.79136
1581077933,29.56152
1581077934,30.22248
1581077935,31.12632
1581077936,30.40464
1581077938,30.09888
1581077938,30.34776
1581077940,29.03928
