timestamp,aggregated_power
1581078411,534.702
1581078412,361.65864
1581078414,371.43648
1581078415,365.58216
1581078418,363.98616
1581078418,373.72728
1581078419,367.23288
1581078420,320.80728
1581078422,411.1416
1581078423,404.55456
1581078423,393.3936
1581078424,396.9444
1581078426,402.51912
1581078427,393.54264
1581078428,394.03704
1581078429,404.41608
1581078430,377.02512
1581078432,308.10528
1581078433,26.69616
1581078434,28.20744
1581078435,28.12872
1581078437,29.61528
1581078438,29.3448
1581078439,27.0528
1581078440,27.46104
1581078442,28.45896
1581078442,28.14912
1581078444,27.34176
1581078445,28.70328
1581078447,27.21312
1581078447,29.3508
1581078448,28.41264
1581078450,29.11128
1581078451,27.57792
1581078452,26.96136
1581078453,28.39296
1581078455,28.5924
1581078456,29.77224
1581078457,29.85096
1581078458,27.31032
1581078459,26.90496
1581078461,29.5812
1581078462,29.05608
1581078463,28.55112
1581078464,28.31232
1581078466,27.38976
1581078467,27.54552
1581078468,28.75152
1581078469,28.73664
1581078470,27.16392
1581078471,27.69696
1581078472,26.21016
1581078474,27.54144
1581078475,30.53928
1581078476,28.2708
1581078477,27.60624
1581078479,28.44456
1581078480,27.27456
1581078481,28.6272
1581078482,28.55976
1581078483,28.3152
1581078486,26.81544
1581078486,28.944
1581078487,31.12848
1581078488,28.92144
1581078490,26.71368
1581078491,27.05304
1581078492,28.70328
1581078493,26.772
1581078494,30.3024
1581078495,27.99936
1581078497,28.10016
1581078498,27.06
1581078499,28.2996
1581078500,26.19792
1581078502,28.3332
1581078503,27.00384
1581078504,26.93568
1581078505,29.05152
1581078507,30.09672
1581078508,26.73456
1581078509,25.87776
1581078510,27.58152
1581078511,27.4524
1581078512,28.33488
1581078513,29.48088
1581078515,27.6912
1581078517,27.63456
1581078517,28.51008
1581078518,26.31096
1581078519,26.63496
1581078521,29.35008
1581078522,28.40304
1581078524,26.7336
1581078526,28.92792
1581078526,26.91888
1581078527,25.51296
1581078528,25.60656
1581078529,28.02528
1581078530,29.13744
1581078531,27.53424
1581078533,28.86288
1581078534,27.01416
1581078535,497.00208
1581078536,2176.63968
1581078537,2151.918
1581078539,2199.7104
1581078540,2167.01904
1581078541,2138.74896
1581078542,2191.84272
1581078543,2146.90992
1581078545,2161.64256
1581078546,2191.50048
1581078547,2127.67968
1581078549,2165.55624
1581078550,2185.23984
1581078551,2129.73072
1581078552,2179.7172
1581078553,2176.80672
1581078554,2124.2796
1581078556,2169.88752
1581078557,2183.56944
1581078559,2126.13096
1581078559,2177.42616
1581078561,2180.71872
1581078562,2125.36416
1581078563,2165.89248
1581078564,2187.30696
1581078565,2129.40264
1581078567,2164.1664
1581078567,2183.88384
1581078569,2126.2836
1581078570,2196.76296
1581078572,2139.92856
1581078576,2154.66096
1581078576,2194.20624
1581078576,2146.52688
1581078576,2133.62016
1581078578,2179.40952
1581078579,2169.17352
1581078580,2141.07792
1581078581,2194.99488
1581078582,2138.95608
1581078583,2154.93072
1581078585,2182.06224
1581078586,2127.834
1581078587,2193.28416
1581078588,2158.89432
1581078589,2153.74536
1581078590,2195.064
1581078592,2137.74024
1581078593,2392.76352
1581078594,2652.93576
1581078595,2203.64544
1581078596,2230.19304
1581078599,2255.69544
1581078599,2193.096
1581078600,2249.81088
1581078601,2244.51672
1581078603,2195.54448
1581078604,2260.24536
1581078605,2228.31432
1581078606,2206.70328
1581078607,2266.26048
1581078609,2212.20192
1581078610,2211.8148
1581078611,2265.13248
